Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
urban-pulse-runner,"Urban Pulse Runner","<p>The Urban Pulse Runner combines high-performance athletic engineering with refined street aesthetics. Designed for all-day comfort, it transitions seamlessly from morning runs to evening city commutes.</p><h3>Highlights</h3><ul><li>Breathable engineered mesh upper for maximum airflow</li><li>Sculpted lightweight foam midsole with high energy return</li><li>Durable multi-surface rubber traction outsole</li><li>Padded collar and ergonomic heel counter for locked-in support</li><li>Molded comfort footbed with arch support</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Engineered breathable mesh with synthetic leather overlays</li><li><strong>Lining:</strong> Soft moisture-wicking textile</li><li><strong>Midsole:</strong> Responsive high-density EVA foam</li><li><strong>Outsole:</strong> High-traction abrasion-resistant rubber</li><li><strong>Fit:</strong> Fits true to size. Choose your standard EU size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Running Shoes,"men, women, unisex, running, lifestyle, new-arrival, best-seller, black, white",TRUE,Size,EU 39,Color,Black / Ivory,LH-UPR-39,850,shopify,12,deny,manual,4990,5990,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-01.jpg,1,"Urban Pulse Runner Black / Ivory side profile","Urban Pulse Runner | Premium Everyday Sneakers | LeagueHub","Shop the Urban Pulse Runner by LeagueHub. Engineered with breathable mesh and responsive cushioning for all-day movement.",active
urban-pulse-runner,,,,,,,,Size,EU 40,Color,Black / Ivory,LH-UPR-40,850,shopify,15,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
urban-pulse-runner,,,,,,,,Size,EU 41,Color,Black / Ivory,LH-UPR-41,850,shopify,18,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
urban-pulse-runner,,,,,,,,Size,EU 42,Color,Black / Ivory,LH-UPR-42,850,shopify,21,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
urban-pulse-runner,,,,,,,,Size,EU 43,Color,Black / Ivory,LH-UPR-43,850,shopify,24,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
urban-pulse-runner,,,,,,,,Size,EU 44,Color,Black / Ivory,LH-UPR-44,850,shopify,27,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
urban-pulse-runner,,,,,,,,Size,EU 45,Color,Black / Ivory,LH-UPR-45,850,shopify,30,deny,manual,4990,5990,TRUE,TRUE,,,,,,active
aero-cloud-lite,"Aero Cloud Lite","<p>Ultra-lightweight and whisper-soft, the Aero Cloud Lite is engineered for runners who prioritize agility and effortless stride transitions.</p><h3>Highlights</h3><ul><li>Featherweight woven upper with seamless construction</li><li>Cloud-cushion EVA core providing plush impact absorption</li><li>Low-profile aerodynamic silhouette</li><li>Reinforced eyelets with flat woven laces</li><li>Flexible grooved outsole allowing natural foot flex</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Technical woven knit</li><li><strong>Lining:</strong> Breathable mesh</li><li><strong>Midsole:</strong> Ultralight CloudFoam</li><li><strong>Outsole:</strong> Flexible traction rubber</li><li><strong>Fit:</strong> Fits true to size. If between sizes, choose one size up.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Running Shoes,"men, women, running, lightweight, new-arrival, white, silver",TRUE,Size,EU 39,Color,White / Silver,LH-ACL-39,850,shopify,12,deny,manual,4590,5490,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-02.jpg,1,"Aero Cloud Lite White / Silver side profile","Aero Cloud Lite | Lightweight Running Sneakers | LeagueHub","Experience featherweight comfort with the Aero Cloud Lite running sneakers. Soft foam cushioning and breathable upper for daily workouts.",active
aero-cloud-lite,,,,,,,,Size,EU 40,Color,White / Silver,LH-ACL-40,850,shopify,15,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
aero-cloud-lite,,,,,,,,Size,EU 41,Color,White / Silver,LH-ACL-41,850,shopify,18,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
